Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
90012,22/07/2020 00:45,4195740185974,fraud_Erdman-Kertzmann,gas_transport,12.4,Benjamin,Robinson,M,0701 John Ranch,Portland,OR,97210,45.5303,-122.7033,841711,"Engineer, building services",04/04/1963,ad131a6f55acb2f9cf860cc34af04bec,1374453920,45.619941,-123.009911,1
101988,27/07/2020 00:45,30290551782700,fraud_Cole PLC,grocery_pos,280.58,John,Clarke,M,27909 Peter Motorway,Cadiz,KY,42211,36.802,-87.8286,13422,Commissioning editor,03/09/1961,c746035a36353904f786164555d0d431,1374885956,35.843189,-87.294812,1
121745,03/08/2020 00:39,4653879239169990,fraud_Barton Inc,grocery_pos,298.35,Monica,Tucker,F,302 Christina Islands,Smiths Grove,KY,42171,37.0581,-86.1938,6841,"Therapist, sports",06/06/1999,1c75cb866bb4b25a3b44155c04fb58b7,1375490380,37.356155,-85.517653,1
167837,18/08/2020 18:13,213112402583773,fraud_Beier LLC,entertainment,464.3,Ana,Howell,F,4664 Sanchez Common Suite 930,Bradley,SC,29819,34.0326,-82.2027,1523,Research scientist (physical sciences),03/06/1984,b61d49087875e4de277b751bb8eb36cf,1376849616,33.375886,-82.772423,1
171881,20/08/2020 13:26,4981132848794,fraud_Stamm-Rodriguez,misc_pos,49.47,Joseph,Spencer,M,7854 Stephanie Island Suite 788,Holloway,OH,43985,40.0113,-80.9701,128,Child psychotherapist,03/04/1946,a8263ccf80d0542607485367c9a156e9,1377005169,40.887247,-80.498858,1
215522,05/09/2020 23:35,4417677808209710,fraud_Ankunding LLC,shopping_net,1168.61,Renee,Jones,F,914 Nancy Square,Birmingham,AL,35211,33.4816,-86.859,493806,Operational investment banker,28/03/2000,dbc42c7ffdba0884b16230f3780a75fd,1378424135,32.863272,-87.435847,1
215571,05/09/2020 23:57,341283058448499,fraud_Lebsack and Sons,misc_net,792.99,Mario,Johns,M,62130 Miller Square Suite 785,Brinson,GA,39825,30.9788,-84.7373,1461,"Engineer, broadcasting (operations)",08/09/1935,49c9203923808dee72f96acdc83ee546,1378425474,30.856309,-84.625627,1
234446,13/09/2020 23:29,4586260469584,fraud_Jast Ltd,shopping_net,995.71,Melody,Thompson,F,0362 Anderson Wall,Mound City,MO,64470,40.1362,-95.2138,1631,Architect,20/01/1953,0555a2e7f6d1fedbe35740c2b421908f,1379114962,40.750528,-95.970518,1
240912,16/09/2020 00:26,342952484382519,"fraud_Reichert, Huels and Hoppe",shopping_net,1071.14,Kayla,Jones,F,6033 Young Track Suite 804,East Canaan,CT,6024,42.0158,-73.2913,647,Comptroller,26/09/1987,0c7a2801be73958d01a2e4c1c96e9be8,1379291160,42.353304,-73.814537,1
250690,21/09/2020 01:38,4170689372027560,fraud_Bernhard Inc,gas_transport,7.98,Samuel,Frey,M,830 Myers Plaza Apt. 384,Edmond,OK,73034,35.6665,-97.4798,116001,Media buyer,10/05/1993,29aacd807ec15862cae8941bf11384bc,1379727515,34.909326,-97.858599,1
261717,25/09/2020 22:55,4427805710168,"fraud_Mosciski, Ziemann and Farrell",shopping_net,966.17,Michelle,Rodriguez,F,1742 Brandon Squares Apt. 461,Ruidoso,NM,88355,33.3305,-105.6933,8874,Licensed conveyancer,16/08/2000,7561e349e89afaa612d7002e90c9c688,1380149717,32.991018,-105.458003,1
270178,29/09/2020 05:17,6011477612335390,fraud_Vandervort-Funk,grocery_pos,304.51,Anthony,Roberts,M,95488 Cabrera Well,Maria Stein,OH,45860,40.4062,-84.5076,2274,"Designer, television/film set",17/12/1943,451b49abfb83e1b45fa0bf9c2629f172,1380431832,40.183312,-84.443841,1
273050,30/09/2020 07:18,180020605265701,"fraud_Reilly, Heaney and Cole",gas_transport,11.5,John,Lewis,M,7908 Derrick Mount,Morrowville,KS,66958,39.8616,-97.1825,314,Chemical engineer,17/03/2002,d417f917b6d0cef4b3d5d1e0407c367f,1380525482,40.612081,-97.017175,1
338048,28/10/2020 22:24,676281772837,fraud_Schmidt-Larkin,home,220.31,Alicia,Bishop,F,222 Freeman Islands,Whigham,GA,39897,30.8836,-84.3246,3430,"Editor, commissioning",25/03/1950,a9d64d5c5f005c3f9e447600f9d21d97,1382999099,31.519359,-83.360092,1
393624,22/11/2020 21:15,3500165543009950,fraud_Heathcote LLC,shopping_net,952.03,Ricky,Dunn,M,97689 Davis Point Apt. 967,Detroit,MI,48214,42.3669,-82.9938,673342,Health visitor,02/09/1983,62c4902555a105cd82e72ef254993e8f,1385154928,41.577654,-82.017011,1
396866,23/11/2020 22:05,4972228199573980,fraud_Klocko LLC,misc_net,836.49,Brian,Hogan,M,3316 Cindy Land,Lane,OK,74555,34.2691,-95.9685,861,Quantity surveyor,08/04/1960,d2c41dbf2c418a8c53c68741f2521f38,1385244347,34.449544,-95.578273,1
401448,25/11/2020 21:21,180046165512893,"fraud_Romaguera, Cruickshank and Greenholt",shopping_net,983.38,Erica,Walker,F,084 Holmes Avenue Suite 206,Stayton,OR,97383,44.8021,-122.7624,9587,"Engineer, biomedical",24/03/1968,539e8bca3e46005290122ad5a6db335d,1385414493,45.402624,-122.059475,1
404444,27/11/2020 16:07,3513506355699490,fraud_Friesen Inc,shopping_pos,956.44,Sarah,Adams,F,5654 Peterson Land,Ridgeland,MS,39157,32.4122,-90.1207,24645,"Scientist, clinical (histocompatibility and immunogenetics)",29/05/1966,6356cd12a8d89b1c36abd3521db229a6,1385568444,33.060111,-89.410945,1
405047,27/11/2020 22:55,676275912597,fraud_Dooley Inc,shopping_pos,916.04,Edward,Hensley,M,24318 Dixon Mills,Elk Rapids,MI,49629,44.8955,-85.4082,2223,Chief Financial Officer,18/01/1986,6c06e2c14248d0e5fc7837b09dd9386c,1385592925,44.9374,-85.991028,1
432375,05/12/2020 00:19,2242176657877530,fraud_Jaskolski-Vandervort,misc_net,766.38,Travis,Daniel,M,1327 Rose Causeway Apt. 610,Senatobia,MS,38668,34.6323,-89.8855,14462,Database administrator,03/03/1959,44292cbc51e37dc018ee6a988a4bc426,1387754019,33.771462,-90.651342,1
1685,21/06/2020 22:06,3560725013359370,fraud_Hamill-D'Amore,health_fitness,24.84,Brooke,Smith,F,63542 Luna Brook Apt. 012,Notrees,TX,79759,31.8599,-102.7413,23,Cytogeneticist,15/09/1969,16bf2e46c54369a8eab2214649506425,1371852399,32.575873,-102.60429,1
1767,21/06/2020 22:32,6564459919350820,"fraud_Rodriguez, Yost and Jenkins",misc_net,780.52,Douglas,Willis,M,619 Jeremy Garden Apt. 681,Benton,WI,53803,42.5545,-90.3508,1306,Public relations officer,10/09/1958,ab4b379d2c0c9c667d46508d4e126d72,1371853942,42.461127,-91.147148,1
1781,21/06/2020 22:37,6564459919350820,fraud_Nienow PLC,entertainment,620.33,Douglas,Willis,M,619 Jeremy Garden Apt. 681,Benton,WI,53803,42.5545,-90.3508,1306,Public relations officer,10/09/1958,47a9987ae81d99f7832a54b29a77bf4b,1371854247,42.771834,-90.158365,1
1784,21/06/2020 22:38,4005676619255470,"fraud_Heathcote, Yost and Kertzmann",shopping_net,1077.69,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,31/05/1994,fe956c7e4a253c437c18918bf96f7b62,1371854335,31.204974,-90.261595,1
1857,21/06/2020 23:02,3560725013359370,fraud_Hermann and Sons,shopping_pos,842.65,Brooke,Smith,F,63542 Luna Brook Apt. 012,Notrees,TX,79759,31.8599,-102.7413,23,Cytogeneticist,15/09/1969,f6838c01f5d2262006e6b71d33ba7c6d,1371855736,31.315782,-102.73639,1
1891,21/06/2020 23:16,3524574586339330,fraud_Thompson-Gleason,health_fitness,22.55,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633,-80.4031,105638,"Librarian, public",07/05/1986,0bac42920027f9b7b3d328bda2709983,1371856572,28.396402,-80.819469,1
1906,21/06/2020 23:21,4005676619255470,fraud_Kuhic LLC,shopping_net,1128.26,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,31/05/1994,eb388ceabaf56474808664772b2d5853,1371856904,30.354797,-91.146131,1
1956,21/06/2020 23:35,4005676619255470,"fraud_Reichert, Rowe and Mraz",shopping_net,931.82,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,31/05/1994,aff46f2741b3501d32b447f842618666,1371857727,30.761363,-91.7136,1
1968,21/06/2020 23:40,4005676619255470,"fraud_Kihn, Abernathy and Douglas",shopping_net,983,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,31/05/1994,8cabf98e58e2b29f7684362fea1f026c,1371858026,29.902451,-91.749089,1
2026,21/06/2020 23:59,6564459919350820,fraud_Lemke-Gutmann,shopping_net,955.16,Douglas,Willis,M,619 Jeremy Garden Apt. 681,Benton,WI,53803,42.5545,-90.3508,1306,Public relations officer,10/09/1958,1799ffe421a2a05dc87903e379140f55,1371859145,43.027879,-90.493768,1
2039,22/06/2020 00:06,4005676619255470,"fraud_Rodriguez, Yost and Jenkins",misc_net,701.81,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,31/05/1994,720905fa777ec90291cfd002fd12d67f,1371859600,30.652786,-90.206798,1
2195,22/06/2020 01:25,4005676619255470,"fraud_Goldner, Kovacek and Abbott",grocery_pos,326.94,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,31/05/1994,219c46c355f98b732d9a36818c5b8a88,1371864313,29.784597,-90.671894,1
2258,22/06/2020 01:54,3524574586339330,"fraud_Osinski, Ledner and Leuschke",grocery_pos,353.08,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633,-80.4031,105638,"Librarian, public",07/05/1986,7220be6f2a92f9c1056d2bcf46c986bd,1371866073,28.256217,-80.914551,1
2467,22/06/2020 03:38,4005676619255470,"fraud_Kerluke, Considine and Macejkovic",misc_net,868.48,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,31/05/1994,2316b3d5045b9dcba383d5c27031ea4a,1371872315,30.283263,-90.606406,1
2495,22/06/2020 03:48,3524574586339330,fraud_Skiles-Ankunding,grocery_net,13.25,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633,-80.4031,105638,"Librarian, public",07/05/1986,d40a602f3d62fc3849bacd25c413952b,1371872900,27.874482,-80.381534,1
2650,22/06/2020 04:58,3524574586339330,fraud_Schumm PLC,shopping_net,967.86,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633,-80.4031,105638,"Librarian, public",07/05/1986,4ee010ce369915da173469857effcea5,1371877105,28.218323,-80.97967,1
5669,22/06/2020 21:51,4005676619255470,"fraud_Baumbach, Strosin and Nicolas",shopping_pos,825.81,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,31/05/1994,d6f6c02b96059201092cab8cef7ceabf,1371937865,29.477134,-90.715715,1
5757,22/06/2020 22:20,3524574586339330,fraud_Shanahan-Lehner,personal_care,21.92,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633,-80.4031,105638,"Librarian, public",07/05/1986,a965da9bc7daef7f526ce640d5c090ae,1371939613,27.339943,-81.199244,1
5940,22/06/2020 23:08,3524574586339330,"fraud_Haley, Batz and Auer",health_fitness,21.74,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633,-80.4031,105638,"Librarian, public",07/05/1986,c3a4aa2a2242f932c576d974dae46a34,1371942505,26.782874,-79.428065,1
6023,22/06/2020 23:35,3524574586339330,fraud_Kutch-Wilderman,home,250.32,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633,-80.4031,105638,"Librarian, public",07/05/1986,217ca81136b86234abecc0ece6358f96,1371944147,27.27806,-79.594618,1
10036,24/06/2020 00:26,180098888332620,fraud_DuBuque LLC,grocery_pos,315.45,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",30/03/1959,6337ebf236753a68a2697295960a30b7,1372033605,42.385601,-79.023729,1
10047,24/06/2020 00:44,180098888332620,"fraud_Huel, Hammes and Witting",grocery_pos,279.78,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",30/03/1959,193eebbe720a3f04ab49e04ec2355902,1372034664,41.898108,-78.397992,1
10167,24/06/2020 02:56,180098888332620,fraud_Murray-Smitham,grocery_pos,287.38,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",30/03/1959,a623c5c05b514e3d56ee333bd5565adc,1372042610,42.012741,-79.204228,1
10193,24/06/2020 03:21,180098888332620,fraud_Heidenreich PLC,grocery_pos,276.4,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",30/03/1959,e1cc0619cfe18299992638e7a19d5b3d,1372044116,43.042593,-79.052508,1
10206,24/06/2020 03:33,180098888332620,fraud_Huels-Hahn,gas_transport,7.82,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",30/03/1959,75ecf87a722ea6a87d1d0dbb72919412,1372044820,41.864069,-79.633384,1
11666,24/06/2020 22:03,180098888332620,fraud_Durgan-Auer,misc_net,790.54,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",30/03/1959,80275a9dbfd3b1a7a5a11bcaa000afab,1372111435,43.22957,-78.451208,1
11669,24/06/2020 22:07,180098888332620,fraud_Bednar Group,misc_net,723.23,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",30/03/1959,16aee906e2a1167ab8c20770a5b7cf79,1372111631,41.673916,-78.922416,1
11702,24/06/2020 22:26,3593118134380340,fraud_Hills-Boyer,personal_care,46.36,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,10/05/1959,75365b9ba05a150f1751934da9b67d9b,1372112786,44.408786,-66.960745,1
11710,24/06/2020 22:30,180098888332620,fraud_Sawayn PLC,shopping_pos,996.31,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",30/03/1959,5b52378eee32883f0dd60e506ac911fd,1372113010,43.110777,-78.685005,1
11770,24/06/2020 23:06,180098888332620,"fraud_Mosciski, Ziemann and Farrell",shopping_net,902.3,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",30/03/1959,6e37d3d1cc9d701679fd3910c20808d6,1372115194,41.940223,-78.541627,1
11780,24/06/2020 23:15,180098888332620,"fraud_Baumbach, Hodkiewicz and Walsh",shopping_pos,741.77,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",30/03/1959,b971b65d32c1d9b36223370bb5744a94,1372115728,43.225233,-77.814218,1
11789,24/06/2020 23:20,3593118134380340,fraud_Terry-Huel,shopping_net,900.77,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,10/05/1959,53252776f86750964b0ab9b922708d15,1372116006,44.971125,-68.909197,1
11799,24/06/2020 23:24,180098888332620,fraud_Pfeffer and Sons,shopping_pos,1047.3,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",30/03/1959,8c171170a9bf40cd94df9c66c3ede970,1372116262,43.217469,-78.336094,1
11831,24/06/2020 23:46,3593118134380340,fraud_Ruecker Group,misc_net,737.99,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,10/05/1959,684959c9c371a7c2407502b86861bd76,1372117615,44.894012,-68.761446,1
11842,24/06/2020 23:54,3593118134380340,fraud_Turcotte-Halvorson,misc_pos,49.18,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,10/05/1959,a113daae572eb0d73af45fbc4fd5cb50,1372118072,45.216686,-67.154141,1
13345,25/06/2020 18:16,3593118134380340,"fraud_Mosciski, Ziemann and Farrell",shopping_net,1046.97,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,10/05/1959,1e28f4d8c246e631eaa939dbb9dfa19a,1372184186,45.05939,-68.335587,1
